iter	Logloss
0	0.6877774325
5	0.6646739939
10	0.64689318
15	0.6334033497
20	0.6233596802
25	0.6147585782
30	0.6090730065
35	0.6044516334
40	0.6007592512
45	0.5974011345
50	0.5949483453
55	0.5931099468
60	0.5915677484
65	0.5894110369
70	0.588393961
75	0.5871794594
80	0.5861038371
85	0.5850305404
90	0.5838397837
95	0.5827326647
100	0.5822314502
105	0.5819518553
110	0.5814485601
115	0.5805213643
120	0.5798984466
125	0.5786294784
130	0.577761849
135	0.5770334662
140	0.5761275674
145	0.5743991219
150	0.5732108539
155	0.5727973163
160	0.5710425555
165	0.5697417642
170	0.5692322675
175	0.5679457965
180	0.5668746214
185	0.5653369108
190	0.5639712084
195	0.5628272888
200	0.5608101095
205	0.559179459
210	0.5572576268
215	0.5569626099
220	0.5551338808
225	0.5549190746
230	0.5541737602
235	0.5527340486
240	0.5520919555
245	0.5514838479
250	0.5493932306
255	0.5487934867
260	0.5475530369
265	0.5468613732
270	0.5456431996
275	0.5437381357
280	0.5433083601
285	0.5423619887
290	0.5414411575
295	0.5406590426
300	0.5390008121
305	0.538058439
310	0.5363714045
315	0.5355653406
320	0.5349626592
325	0.5338099679
330	0.5328287543
335	0.5325833897
340	0.5314114821
345	0.5308372783
350	0.5298761378
355	0.5290618733
360	0.5287059437
365	0.5280928586
370	0.5278306441
375	0.5274272246
380	0.5272637434
385	0.526986678
390	0.5269086705
395	0.5261670689
400	0.5258167695
405	0.5253310586
410	0.5243116573
415	0.5240795115
420	0.5237212972
425	0.5231011539
430	0.5229745141
435	0.5227074853
440	0.5225746032
445	0.5218520139
450	0.5211863798
455	0.5207356336
460	0.5205829641
465	0.5201398064
470	0.5198678001
475	0.5198316931
480	0.5197004838
485	0.5196748213
490	0.5194274984
495	0.5193171374
500	0.5192088571
505	0.5191474139
510	0.5189538639
515	0.5189325669
520	0.5187627211
525	0.5180197731
530	0.5178493969
535	0.5177758365
540	0.5174684984
545	0.5172983669
550	0.517221461
555	0.516963408
560	0.5166520715
565	0.5165370186
570	0.5164322879
575	0.5163422855
580	0.5159767273
585	0.515869059
590	0.515855065
595	0.5156856272
600	0.515507948
605	0.5154222295
610	0.5152975888
615	0.5152805349
620	0.5149097953
625	0.5148613262
630	0.5146746304
635	0.5145481538
640	0.5145033566
645	0.5144803052
650	0.5144250227
655	0.5140341692
660	0.5137125107
665	0.5136469469
670	0.5128739301
675	0.5127192207
680	0.5123890759
685	0.5123656166
690	0.5120933655
695	0.5119605243
700	0.5119182158
705	0.5118866783
710	0.5118284582
715	0.5117422094
720	0.5117147925
725	0.5116682002
730	0.511638621
735	0.5113615964
740	0.5113457664
745	0.5111613554
750	0.5110832663
755	0.510909259
760	0.5106118758
765	0.510531094
770	0.5104756075
775	0.5103180421
780	0.5102234703
785	0.5102088643
790	0.5101219626
795	0.5100033194
800	0.509967906
805	0.5099284534
810	0.509853669
815	0.5097456335
820	0.5097107505
825	0.5096293567
830	0.5094589397
835	0.5093888063
840	0.5093303007
845	0.5092725295
850	0.5091815887
855	0.5090277769
860	0.5089948522
865	0.5089086033
870	0.5088001598
875	0.5087882873
880	0.5086719697
885	0.5086149736
890	0.5086033051
895	0.5085944925
900	0.508547125
905	0.5085236248
910	0.5082312191
915	0.508220489
920	0.5080172697
925	0.507709034
930	0.5076785164
935	0.507598265
940	0.5075220526
945	0.507513852
950	0.5075029995
955	0.5073369072
960	0.5072690586
965	0.5072615516
970	0.5072232007
975	0.507165307
980	0.5071440508
985	0.5071120237
990	0.5070932154
995	0.5070091288
999	0.5064186055
